vol,abs
ml,mAU
-0.07445,-39.43153
-0.07167,-39.433048
-0.06889,-39.43399
-0.06611,-39.434467
-0.06333,-39.435802
-0.06055,-39.436298
-0.05777,-39.437233
-0.054989,-39.435459
-0.052209,-39.43026
-0.049429,-39.430973
-0.046649,-39.431961
-0.043869,-39.432587
-0.041089,-39.433235
-0.038308,-39.434441
-0.035528,-39.436287
-0.032748,-39.437897
-0.029968,-39.438541
-0.027188,-39.439518
-0.024408,-39.440418
-0.021627,-39.440613
-0.018847,-39.439972
-0.016067,-39.439308
-0.013287,-39.438061
-0.010507,-39.437321
-0.007727,-39.437569
-0.004946,-39.438206
-0.002166,-39.432812
0.000614,-39.340691
0.003394,-39.313732
0.006174,-39.300056
0.008954,-39.292126
0.011735,-39.285408
0.014515,-39.278553
0.017295,-39.271481
0.020075,-39.264778
0.022855,-39.258522
0.025635,-39.253956
0.028416,-39.249481
0.031196,-39.242645
0.033976,-39.234882
0.036756,-39.227375
0.039536,-39.220367
0.042316,-39.213192
0.045097,-39.205551
0.047877,-39.198162
0.050657,-39.193073
0.053437,-39.189602
0.056217,-39.184937
0.058997,-39.179359
0.061777,-39.173771
0.064558,-39.16819
0.067338,-39.163765
0.070118,-39.160519
0.072898,-39.157379
0.075678,-39.153198
0.078458,-39.148651
0.081239,-39.144772
0.084019,-39.141132
0.086799,-39.137119
0.089579,-39.132298
0.092359,-39.126926
0.095139,-39.119869
0.09792,-39.112785
0.1007,-39.105774
0.10348,-39.098988
0.10626,-39.09264
0.10904,-39.086788
0.11182,-39.082253
0.114601,-39.080238
0.117381,-39.079552
0.120161,-39.09037
0.122941,-39.095268
0.125721,-39.099274
0.128501,-39.102566
0.131282,-39.102745
0.134062,-39.101124
0.136842,-39.10054
0.139622,-39.101574
0.142402,-39.101803
0.145182,-39.101742
0.147963,-39.101276
0.150743,-39.100376
0.153523,-39.098766
0.156303,-39.095802
0.159083,-39.092838
0.161863,-39.089165
0.164643,-39.084988
0.167424,-39.079823
0.170204,-39.073673
0.172984,-39.067467
0.175764,-39.059731
0.178544,-39.052746
0.181324,-39.048126
0.184105,-39.044701
0.186885,-39.042728
0.189665,-39.045002
0.192445,-39.045158
0.195225,-39.043526
0.198005,-39.040653
0.200786,-39.035305
0.203566,-39.027569
0.206346,-39.019596
0.209126,-39.011322
0.211906,-39.004185
0.214686,-38.998322
0.217467,-38.994019
0.220247,-38.990929
0.223027,-38.987972
0.225807,-38.985748
0.228587,-38.983898
0.231367,-38.982662
0.234148,-38.981705
0.236928,-38.981213
0.239708,-38.982014
0.242488,-38.982975
0.245268,-38.984283
0.248048,-38.985638
0.250829,-38.987835
0.253609,-38.991455
0.256389,-38.996498
0.259169,-39.003422
0.261949,-39.009476
0.264729,-39.0131
0.267509,-39.015247
0.27029,-39.016823
0.27307,-39.018063
0.27585,-39.021667
0.27863,-39.0271
0.28141,-39.03072
0.28419,-39.032585
0.286971,-39.033722
0.289751,-39.035164
0.292531,-39.036774
0.295311,-39.039192
0.298091,-39.04174
0.300871,-39.04324
0.303652,-39.043587
0.306432,-39.043697
0.309212,-39.043011
0.311992,-39.042248
0.314772,-39.040901
0.317552,-39.039906
0.320333,-39.041042
0.323113,-39.045837
0.325893,-39.05048
0.328673,-39.054775
0.331453,-39.057972
0.334233,-39.059315
0.337014,-39.058708
0.339794,-39.056641
0.342574,-39.052635
0.345354,-39.046978
0.348134,-39.040104
0.350914,-39.033161
0.353695,-39.026787
0.356475,-39.02129
0.359255,-39.018795
0.362035,-39.017075
0.364815,-39.017597
0.367595,-39.019535
0.370376,-39.020676
0.373156,-39.018654
0.375936,-39.01664
0.378716,-39.013783
0.381496,-39.011364
0.384276,-39.010754
0.387056,-39.011688
0.389837,-39.012791
0.392617,-39.014679
0.395397,-39.016258
0.398177,-39.017517
0.400957,-39.017986
0.403737,-39.016144
0.406518,-39.010986
0.409298,-39.006611
0.412078,-39.002529
0.414858,-38.999577
0.417638,-38.998539
0.420418,-38.999485
0.423199,-39.001911
0.425979,-39.004341
0.428759,-39.008442
0.431539,-39.013779
0.434319,-39.019573
0.437099,-39.02541
0.43988,-39.030796
0.44266,-39.033241
0.44544,-39.033459
0.44822,-39.032124
0.451,-39.030571
0.45378,-39.030811
0.456561,-39.034317
0.459341,-39.039467
0.462121,-39.04586
0.464901,-39.051731
0.467681,-39.055687
0.470461,-39.057217
0.473242,-39.056793
0.476022,-39.055737
0.478802,-39.054989
0.481582,-39.054569
0.484362,-39.056286
0.487142,-39.059753
0.489923,-39.06321
0.492703,-39.065887
0.495483,-39.068218
0.498263,-39.069504
0.501043,-39.070465
0.503823,-39.070641
0.506603,-39.069687
0.509384,-39.070007
0.512164,-39.073784
0.514944,-39.077663
0.517724,-39.081486
0.520504,-39.084591
0.523284,-39.086391
0.526065,-39.087376
0.528845,-39.089844
0.531625,-39.093811
0.534405,-39.09848
0.537185,-39.103355
0.539965,-39.107941
0.542746,-39.110897
0.545526,-39.113224
0.548306,-39.117485
0.551086,-39.122326
0.553866,-39.128254
0.556646,-39.135818
0.559427,-39.142513
0.562207,-39.147118
0.564987,-39.151669
0.567767,-39.154034
0.570547,-39.154766
0.573327,-39.155331
0.576108,-39.155857
0.578888,-39.156448
0.581668,-39.158089
0.584448,-39.161606
0.587228,-39.166382
0.590008,-39.171059
0.592789,-39.174492
0.595569,-39.174397
0.598349,-39.175446
0.601129,-39.176968
0.603909,-39.17931
0.606689,-39.182961
0.609469,-39.187454
0.61225,-39.193169
0.61503,-39.198879
0.61781,-39.204323
0.62059,-39.209381
0.62337,-39.213875
0.62615,-39.217453
0.628931,-39.220421
0.631711,-39.221294
0.634491,-39.221085
0.637271,-39.220036
0.640051,-39.218708
0.642831,-39.218803
0.645612,-39.221039
0.648392,-39.221909
0.651172,-39.221756
0.653952,-39.221184
0.656732,-39.220661
0.659512,-39.220184
0.662293,-39.220261
0.665073,-39.220451
0.667853,-39.218979
0.670633,-39.216354
0.673413,-39.21394
0.676193,-39.212814
0.678974,-39.212093
0.681754,-39.210114
0.684534,-39.207642
0.687314,-39.203712
0.690094,-39.197929
0.692874,-39.192059
0.695655,-39.184986
0.698435,-39.178185
0.701215,-39.172077
0.703995,-39.16655
0.706775,-39.161568
0.709555,-39.157433
0.712335,-39.152599
0.715116,-39.14703
0.717896,-39.141979
0.720676,-39.137772
0.723456,-39.134785
